sampleId	MSI_score	Group
TCGA-17-Z056-01	0.2753	MSS
TCGA-17-Z009-01	0.2654	MSS
TCGA-17-Z004-01	0.2794	MSS
TCGA-17-Z058-01	0.3054	MSI-L
TCGA-17-Z033-01	0.2725	MSS
TCGA-17-Z036-01	0.3114	MSI-L
TCGA-17-Z026-01	0.288	MSS
TCGA-17-Z042-01	0.2752	MSS
TCGA-17-Z011-01	0.2688	MSS
TCGA-17-Z019-01	0.2737	MSS
TCGA-17-Z013-01	0.2772	MSS
TCGA-17-Z001-01	0.2714	MSS
TCGA-17-Z022-01	0.2615	MSS
TCGA-17-Z059-01	0.2881	MSS
TCGA-17-Z007-01	0.2722	MSS
TCGA-17-Z050-01	0.279	MSS
TCGA-17-Z037-01	0.2805	MSS
TCGA-17-Z027-01	0.3179	MSI-L
TCGA-17-Z062-01	0.2768	MSS
TCGA-17-Z030-01	0.2764	MSS
TCGA-17-Z044-01	0.3067	MSI-L
TCGA-17-Z048-01	0.2868	MSS
TCGA-17-Z017-01	0.2736	MSS
TCGA-17-Z003-01	0.2927	MSS
TCGA-17-Z051-01	0.2864	MSS
TCGA-17-Z041-01	0.2922	MSS
TCGA-17-Z054-01	0.281	MSS
TCGA-17-Z045-01	0.302	MSI-L
TCGA-17-Z031-01	0.3022	MSI-L
TCGA-17-Z049-01	0.2793	MSS
TCGA-17-Z060-01	0.2807	MSS
TCGA-17-Z014-01	0.3044	MSI-L
