Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-L9-A743-01A-43D-A397-08	90	2.368421053	0.374458913
TCGA-49-4506-01A-01D-1265-08	91	2.394736842	0.379257796
TCGA-05-5715-01A-01D-1625-08	92	2.421052632	0.384004231
TCGA-55-6983-01A-11D-1945-08	92	2.421052632	0.384004231
TCGA-93-A4JP-01D-01D-A38P-08	92	2.421052632	0.384004231
TCGA-91-6849-01A-11D-1945-08	93	2.447368421	0.388699352
TCGA-38-4630-01A-01D-1265-08	94	2.473684211	0.393344257
TCGA-55-6979-01A-11D-1945-08	94	2.473684211	0.393344257
TCGA-93-7347-01A-11D-2184-08	94	2.473684211	0.393344257
TCGA-95-A4VP-01A-21D-A25L-08	94	2.473684211	0.393344257
TCGA-17-Z021-01A-01W-0746-08	95	2.5	0.397940009
TCGA-17-Z052-01A-01W-0747-08	96	2.526315789	0.402487636
TCGA-49-AAR3-01A-11D-A410-08	96	2.526315789	0.402487636
TCGA-50-5936-01A-11D-1625-08	96	2.526315789	0.402487636
TCGA-MP-A4TH-01A-31D-A25L-08	96	2.526315789	0.402487636
TCGA-62-A46S-01A-11D-A24D-08	97	2.552631579	0.406988138
TCGA-75-5122-01A-01D-1753-08	97	2.552631579	0.406988138
TCGA-MP-A4T8-01A-11D-A24P-08	97	2.552631579	0.406988138
TCGA-62-8394-01A-11D-2323-08	98	2.578947368	0.411442479
TCGA-S2-AA1A-01A-12D-A397-08	98	2.578947368	0.411442479
TCGA-05-4402-01A-01D-1265-08	99	2.605263158	0.415851598
TCGA-49-6745-01A-11D-1855-08	99	2.605263158	0.415851598
TCGA-55-6642-01A-11D-1855-08	99	2.605263158	0.415851598
TCGA-62-A470-01A-11D-A24D-08	99	2.605263158	0.415851598
TCGA-91-6840-01A-11D-1945-08	99	2.605263158	0.415851598
TCGA-55-6712-01A-11D-1855-08	100	2.631578947	0.420216403
TCGA-93-A4JQ-01A-11D-A24P-08	100	2.631578947	0.420216403
TCGA-17-Z000-01A-01W-0746-08	102	2.684210526	0.428816575
TCGA-49-AAR0-01A-21D-A397-08	102	2.684210526	0.428816575
TCGA-80-5607-01A-31D-1945-08	102	2.684210526	0.428816575
TCGA-05-4384-01A-01D-1753-08	103	2.710526316	0.433053628
TCGA-38-4628-01A-01D-1265-08	103	2.710526316	0.433053628
TCGA-44-5643-01A-01D-1625-08	105	2.763157895	0.441405702
TCGA-49-4486-01A-01D-1265-08	105	2.763157895	0.441405702
TCGA-44-6147-01B-06D-A271-08	106	2.789473684	0.445522269
TCGA-17-Z037-01A-01W-0746-08	108	2.842105263	0.453640159
TCGA-17-Z051-01A-01W-0747-08	110	2.894736842	0.461609089
TCGA-05-4403-01A-01D-1265-08	111	2.921052632	0.465539382
TCGA-86-8669-01A-11D-2393-08	111	2.921052632	0.465539382
TCGA-MP-A4TE-01A-22D-A25L-08	111	2.921052632	0.465539382
TCGA-55-7725-01A-11D-2167-08	112	2.947368421	0.469434426
TCGA-44-A4SU-01A-11D-A24P-08	113	2.973684211	0.473294847
TCGA-64-5774-01A-01D-1625-08	113	2.973684211	0.473294847
TCGA-78-7149-01A-11D-2036-08	113	2.973684211	0.473294847
TCGA-55-7815-01A-11D-2167-08	116	3.052631579	0.484674393
TCGA-MP-A4T7-01A-11D-A24P-08	116	3.052631579	0.484674393
TCGA-4B-A93V-01A-11D-A397-08	117	3.078947368	0.488402265
TCGA-NJ-A55O-01A-11D-A25L-08	117	3.078947368	0.488402265
TCGA-55-8096-01A-11D-2238-08	118	3.105263158	0.492098411
TCGA-95-7948-01A-11D-2184-08	118	3.105263158	0.492098411
TCGA-55-1594-01A-01D-1040-01	119	3.131578947	0.495763365
TCGA-69-8253-01A-11D-2284-08	120	3.157894737	0.499397649
TCGA-78-7537-01A-11D-2063-08	120	3.157894737	0.499397649
TCGA-44-7659-01A-11D-2063-08	121	3.184210526	0.503001774
TCGA-44-7672-01A-11D-2063-08	121	3.184210526	0.503001774
TCGA-97-8176-01A-11D-2393-08	122	3.210526316	0.506576234
TCGA-J2-8194-01A-11D-2238-08	123	3.236842105	0.510121515
TCGA-17-Z033-01A-01W-0746-08	124	3.263157895	0.513638089
TCGA-55-1594-01A-01W-0928-08	124	3.263157895	0.513638089
TCGA-97-A4M5-01A-11D-A24P-08	124	3.263157895	0.513638089
TCGA-05-5423-01A-01D-1625-08	125	3.289473684	0.517126416
TCGA-MP-A4SY-01A-21D-A24P-08	126	3.315789474	0.520586949
TCGA-NJ-A4YG-01A-22D-A25L-08	127	3.342105263	0.524020124
TCGA-17-Z059-01A-01W-0747-08	128	3.368421053	0.527426373
TCGA-97-7547-01A-11D-2036-08	128	3.368421053	0.527426373
TCGA-55-7903-01A-11D-2167-08	129	3.394736842	0.530806114
TCGA-78-7535-01A-11D-2063-08	129	3.394736842	0.530806114
TCGA-17-Z050-01A-01W-0747-08	131	3.447368421	0.537487699
TCGA-44-6147-01A-11D-1753-08	131	3.447368421	0.537487699
TCGA-55-7227-01A-11D-2036-08	131	3.447368421	0.537487699
TCGA-75-5125-01A-01D-1753-08	131	3.447368421	0.537487699
TCGA-86-7713-01A-11D-2063-08	131	3.447368421	0.537487699
TCGA-53-7813-01A-11D-2167-08	132	3.473684211	0.540790335
TCGA-86-8359-01A-11D-2323-08	133	3.5	0.544068044
TCGA-50-5072-01A-21D-1855-08	135	3.552631579	0.550550172
TCGA-97-8174-01A-11D-2284-08	137	3.605263158	0.556936971
TCGA-17-Z061-01A-01W-0747-08	138	3.631578947	0.56009549
TCGA-44-2662-01B-02D-A271-08	139	3.657894737	0.563231204
TCGA-80-5608-01A-31D-1945-08	139	3.657894737	0.563231204
TCGA-97-A4LX-01A-11D-A24P-08	139	3.657894737	0.563231204
TCGA-64-5815-01A-01D-1625-08	140	3.684210526	0.566344439
TCGA-97-8179-01A-11D-2284-08	140	3.684210526	0.566344439
TCGA-44-2655-01A-01D-1553-08	142	3.736842105	0.572504748
TCGA-44-3398-01A-01D-1105-08	142	3.736842105	0.572504748
TCGA-49-6761-01A-31D-1945-08	142	3.736842105	0.572504748
TCGA-93-8067-01D-01D-A38P-08	142	3.736842105	0.572504748
TCGA-99-8033-01A-11D-2238-08	142	3.736842105	0.572504748
TCGA-55-6987-01A-11D-1945-08	143	3.763157895	0.575552441
TCGA-44-2655-01A-01W-0928-08	145	3.815789474	0.581584406
TCGA-44-6147-01A-11D-A271-08	145	3.815789474	0.581584406
TCGA-75-5146-01A-01D-1625-08	145	3.815789474	0.581584406
TCGA-78-7161-01A-11D-2036-08	145	3.815789474	0.581584406
TCGA-O1-A52J-01A-11D-A25L-08	145	3.815789474	0.581584406
TCGA-55-7914-01A-11D-2167-08	146	3.842105263	0.584569259
TCGA-55-6970-01A-11D-1945-08	147	3.868421053	0.587533738
TCGA-55-8299-01A-11D-2284-08	147	3.868421053	0.587533738
